ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
1000486;Поступление зарплаты на счет;Обучение;0;0.43;мужской;0;0;высшее;специалист;>250;0;100;30;Другое;ЗАО;холост / не замужем;0;0;0;0;0;0;1;0;0;0;0.6666666667;2;1;95;3;1;1;8;64;0;0;0;0;0;0;0
1000506;Поступление зарплаты на счет;Ремонт;0;0.05;мужской;2;0;высшее;менеджер высшего звена;>250;0;6;39;Торговля;ООО;женат / замужем;0;0;0;0;0;0.0161290323;0;0;0;0;0;0;4;61;4;0;3;19;97;1;0;0;0;0;0;0
1000526;Поступление зарплаты на счет;Ремонт;0;0.26;женский;0;0;высшее;специалист;>250;0;88;32;Информационные технологии;ЗАО;холост / не замужем;0;0;0;0;0;0;0;0;0;0;0;0;1;17;1;0;1;74;74;0;0;0;0;0;0;0
1000546;Поступление зарплаты на счет;Покупка автомобиля;1;0.5;женский;1;0;высшее;торговый представитель;>250;0;25;31;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000566;Поступление зарплаты на счет;Покупка автомобиля;1;0.17;мужской;0;0;среднее;рабочий;>250;0;30;25;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000586;Поступление зарплаты на счет;Ремонт;1;0.59;женский;1;0;среднее;специалист;>250;0;96;42;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000606;Поступление зарплаты на счет;Ремонт;0;0.32;мужской;0;0;высшее;вспомогательный персонал;>250;1;17;38;Торговля;ООО;холост / не замужем;0;0;0;0;0;0;0;0;0;0;0.6666666667;2;1;22;3;1;1;8;13;0;0;0;0;0;0;0
1000626;2НДФЛ;Покупка автомобиля;0;0.56;мужской;0;0;среднее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000646;Поступление зарплаты на счет;Покупка бытовой техники;0;0.08;мужской;0;0;высшее;менеджер среднего звена;>250;0;61;35;Торговля;ЗАО;женат / замужем;0;0;0;0;0;0;1;0;0;0;0.2;1;4;98;5;0;2;10;78;0;0;0;0;0;0;0
1000666;Поступление зарплаты на счет;Покупка бытовой техники;0;0.17;мужской;0;0;высшее;менеджер среднего звена;>250;0;26;24;Другое;ООО;холост / не замужем;1;1;0;0;0;0;0;0;0;0;0;0;1;4;1;0;0;4;4;0;0;0;0;0;0;0
